,위도,경도,시간,거리
0,34.80875304,126.4569739,37 mins,7.5 km
1,34.808847,126.4415076,30 mins,4.8 km
2,34.81662603,126.4111056,32 mins,2.9 km
4,34.79969579,126.4009368,17 mins,0.9 km
5,34.80147619,126.3903242,18 mins,1.0 km
6,34.81310262,126.3945838,18 mins,1.5 km
7,34.80804601,126.4499952,36 mins,5.6 km
8,34.8246294,126.4354617,50 mins,5.1 km
9,34.78517069,126.3801797,32 mins,4.4 km
10,34.79100802,126.4008226,32 mins,4.2 km
11,34.80057558,126.4030507,18 mins,1.1 km
12,34.81098142,126.3807697,25 mins,2.4 km
13,34.8036042,126.3721384,29 mins,4.3 km
14,34.8160882,126.3906435,26 mins,2.4 km
15,34.81610097,126.4153938,28 mins,3.0 km
16,34.79171024,126.3915809,25 mins,2.9 km
17,34.80223621,126.3755128,28 mins,4.4 km
18,34.8079938,126.4101703,19 mins,1.4 km
19,34.80525243,126.416556,21 mins,1.8 km
20,34.81033767,126.4529022,34 mins,6.4 km
21,34.79530348,126.3855154,21 mins,2.0 km
22,34.81038421,126.4286651,27 mins,3.8 km
23,34.8139865,126.4113702,29 mins,2.7 km
24,34.8071145,126.4569787,36 mins,7.7 km
25,34.78207321,126.374876,30 mins,4.9 km
26,34.8347188,126.4258535,38 mins,5.8 km
27,34.80057558,126.4030507,18 mins,1.1 km
28,34.80511875,126.4068368,16 mins,0.9 km
29,34.81844829,126.3898659,26 mins,2.6 km
30,34.80861333,126.3918035,20 mins,1.4 km
31,34.82081753,126.3991809,25 mins,2.0 km
32,34.78528417,126.379525,33 mins,4.4 km
33,34.80119163,126.4191907,24 mins,2.8 km
34,34.79998068,126.372628,32 mins,5.6 km
35,34.81046663,126.3811008,25 mins,2.5 km
36,34.79579781,126.3776929,30 mins,4.1 km
37,34.81132458,126.4529571,33 mins,6.4 km
38,34.81497858,126.4245201,28 mins,2.9 km
39,34.80359383,126.4223053,24 mins,3.1 km
40,34.80853667,126.4120057,19 mins,1.4 km
41,34.81028938,126.4278786,25 mins,3.2 km
42,34.79613159,126.4069043,22 mins,1.6 km
43,34.80525243,126.416556,21 mins,1.8 km
44,34.80668423,126.4191416,22 mins,1.9 km
45,34.79998068,126.372628,32 mins,5.6 km
46,34.80130085,126.4393875,42 mins,5.6 km
47,34.79640482,126.3831138,25 mins,4.2 km
48,34.79788027,126.3852423,25 mins,4.2 km
49,34.79969623,126.3797871,23 mins,3.6 km
50,34.81645959,126.4097016,32 mins,2.1 km
51,34.79998068,126.372628,32 mins,5.6 km
52,34.79682313,126.3949956,26 mins,1.8 km
53,34.81005004,126.387662,19 mins,2.3 km
54,34.79607323,126.4038678,22 mins,1.6 km
55,34.79998068,126.372628,32 mins,5.6 km
56,34.80759207,126.4042897,16 mins,0.6 km
57,34.79640482,126.3831138,25 mins,4.2 km
58,34.80494028,126.3905327,17 mins,0.9 km
59,34.80223621,126.3755128,28 mins,4.4 km
60,34.80311132,126.4340543,33 mins,4.2 km
61,34.80762176,126.430872,24 mins,3.7 km
62,34.81858406,126.3969949,22 mins,2.0 km
63,34.79940669,126.4246583,33 mins,3.6 km
64,34.80571314,126.3949956,18 mins,0.8 km
65,34.8010526,126.3734034,31 mins,5.3 km
66,34.7960316,126.4273077,51 mins,5.0 km
67,34.8145854,126.4223249,25 mins,2.8 km
68,34.80897119999999,126.439282,28 mins,4.7 km
69,34.8167164,126.4185049,25 mins,2.8 km
70,34.8081114,126.4268083,24 mins,3.2 km
71,34.8039694,126.4303798,29 mins,4.0 km
72,34.7918461,126.4000592,38 mins,2.6 km
73,34.8023134,126.4242973,28 mins,3.3 km
74,34.8165665,126.3973529,21 mins,1.7 km
75,34.7938058,126.3983637,37 mins,2.3 km
76,34.8045037,126.3751426,26 mins,4.1 km
77,34.8064733,126.3771823,29 mins,4.3 km
78,34.80814710000001,126.4281017,24 mins,3.7 km
79,34.8017537,126.4270016,31 mins,3.6 km
80,34.8092847,126.4357484,31 mins,4.9 km
81,34.8001906,126.4374159,54 mins,6.2 km
82,34.8119183,126.4155313,22 mins,2.3 km
83,34.8117425,126.4284309,27 mins,3.3 km
84,34.8045312,126.425049,26 mins,3.3 km
85,34.8189792,126.4204021,24 mins,3.1 km
86,34.8115014,126.3789543,24 mins,3.0 km
87,34.8005332,126.4152275,22 mins,2.6 km
88,34.8100311,126.4455667,29 mins,5.2 km
89,34.8156311,126.4196208,22 mins,2.6 km
90,34.80994400000001,126.4552319,36 mins,6.5 km
91,34.8067859,126.4526433,41 mins,7.9 km
92,34.8062854,126.4241277,26 mins,3.6 km
93,34.8181236,126.3926681,21 mins,2.2 km
94,34.8026178,126.4343188,34 mins,4.3 km
95,34.80384069999999,126.374249,27 mins,4.2 km
96,34.8020091,126.3810386,23 mins,3.3 km
97,34.8127765,126.4257139,25 mins,3.0 km
98,34.8023134,126.4242973,28 mins,3.3 km
99,34.8023159,126.4241407,27 mins,3.3 km
100,34.808172,126.4383467,30 mins,4.8 km
101,34.8104875,126.380069,26 mins,3.1 km
102,34.8167164,126.4185049,25 mins,2.8 km
103,34.8036562,126.4063055,19 mins,1.1 km
104,34.801457,126.4272118,32 mins,3.6 km
105,34.8099205,126.4557646,36 mins,6.8 km
106,34.81839180000001,126.3912739,23 mins,2.3 km
107,34.8132581,126.3841828,19 mins,2.1 km
108,34.8012681,126.4248768,30 mins,3.5 km
109,34.8200299,126.3913633,21 mins,2.4 km
110,34.8021019,126.4236934,27 mins,3.3 km
111,34.8033051,126.4269037,29 mins,3.8 km
112,34.8038045,126.4191348,23 mins,2.8 km
113,34.8038045,126.4191348,23 mins,2.8 km
114,34.8038045,126.4191348,23 mins,2.8 km
115,34.8167164,126.4185049,25 mins,2.8 km
116,34.8040421,126.4238383,25 mins,3.2 km
117,34.8008961,126.4218019,27 mins,3.0 km
118,34.8033226,126.4291578,30 mins,4.0 km
119,34.817564,126.3894244,26 mins,2.5 km
120,34.801452,126.4207412,25 mins,2.9 km
121,34.8167164,126.4185049,25 mins,2.8 km
122,34.8035601,126.4185021,22 mins,2.7 km
123,34.81185000000001,126.3963944,16 mins,1.4 km
124,34.8016077,126.4228203,28 mins,3.4 km
125,34.8021815,126.4240212,27 mins,3.3 km
126,34.8200299,126.3913633,21 mins,2.4 km
127,34.8015029,126.422601,28 mins,3.4 km
128,34.8110265,126.376449,24 mins,3.0 km
129,34.8196385,126.3927709,23 mins,2.5 km
130,34.8021815,126.4240212,27 mins,3.3 km
131,34.7866609,126.38302,29 mins,3.8 km
132,34.7996417,126.4203885,27 mins,2.8 km
133,34.8129201,126.4534814,34 mins,6.4 km
134,34.8059746,126.3698854,28 mins,3.9 km
135,34.8053294,126.4287627,27 mins,3.8 km
136,34.8009675,126.4216858,27 mins,3.0 km
137,34.7985388,126.3899735,18 mins,1.3 km
138,34.8111397,126.3821316,24 mins,2.3 km
139,34.8070524,126.450787,39 mins,6.5 km
140,34.8026178,126.4343188,34 mins,4.3 km
141,34.80384069999999,126.374249,27 mins,4.2 km
142,34.8011284,126.4274408,32 mins,3.6 km
143,34.8011899,126.4080512,22 mins,1.8 km
144,34.8103401,126.4552942,35 mins,6.4 km
145,34.8103524,126.4558643,35 mins,6.8 km
146,34.8101527,126.4552644,35 mins,6.5 km
147,34.8072389,126.4586582,37 mins,7.5 km
148,34.801331,126.3794045,23 mins,3.6 km
149,34.8054049,126.4247527,26 mins,3.6 km
150,34.8099205,126.4557646,36 mins,6.8 km
151,34.8028439,126.3936237,17 mins,0.7 km
152,34.8181236,126.3926681,21 mins,2.2 km
153,34.8070454,126.4503637,37 mins,5.7 km
154,34.8016146,126.4246335,29 mins,3.4 km
155,34.806517,126.4458841,35 mins,5.7 km
156,34.8092847,126.4357484,31 mins,4.9 km
157,34.8061759,126.4518091,42 mins,8.0 km
158,34.8038406,126.4063218,19 mins,1.1 km
159,34.8149719,126.4220233,24 mins,2.7 km
160,34.8208,126.4216741,25 mins,3.4 km
161,34.8052615,126.3665774,36 mins,5.6 km
162,34.8106191,126.3799245,26 mins,3.1 km
163,34.8094805,126.4459739,30 mins,5.3 km
164,34.8110237,126.4192983,20 mins,2.2 km
165,34.8155402,126.4161,27 mins,2.9 km
166,34.8098877,126.4462173,29 mins,5.3 km
167,34.8167164,126.4185049,25 mins,2.8 km
168,34.8174307,126.398109,19 mins,1.6 km
169,34.8103401,126.4552942,35 mins,6.4 km
170,34.8106133,126.3771126,24 mins,3.0 km
171,34.8018663,126.4272382,31 mins,3.6 km
172,34.8061677,126.3675926,35 mins,5.6 km
173,34.8094199,126.3714827,25 mins,3.5 km
174,34.79772,126.4084168,19 mins,1.7 km
175,34.7997347,126.3807298,23 mins,3.6 km
176,34.801811,126.4084547,22 mins,1.3 km
177,34.8088464,126.4259774,22 mins,3.0 km
178,34.8200259,126.4201229,26 mins,3.2 km
179,34.8031172,126.3773608,27 mins,4.5 km
180,34.7995539,126.4217964,29 mins,3.1 km
181,34.8030363,126.425685,28 mins,3.4 km
182,34.8096576,126.4254105,21 mins,3.0 km
183,34.8064037,126.4226741,25 mins,3.3 km
184,34.8040018,126.4061408,18 mins,1.1 km
185,34.7977558,126.4280174,31 mins,5.2 km
186,34.8015552,126.4227106,28 mins,3.4 km
187,34.8196385,126.3927709,23 mins,2.5 km
188,34.7935819,126.3800348,29 mins,2.7 km
189,34.7983176,126.4372413,53 mins,5.8 km
190,34.8045958,126.405651,17 mins,0.7 km
191,34.8045958,126.405651,17 mins,0.7 km
192,34.8092424,126.4393066,28 mins,4.7 km
193,34.8070562,126.4516668,39 mins,6.5 km
194,34.8134397,126.4242819,25 mins,3.0 km
195,34.801457,126.4272118,32 mins,3.6 km
196,34.8098248,126.388064,18 mins,1.5 km
197,34.8107699,126.4540363,33 mins,6.4 km
198,34.8149719,126.4220233,24 mins,2.7 km
199,34.8052615,126.3665774,36 mins,5.6 km
200,34.8106191,126.3799245,26 mins,3.1 km
201,34.8062316,126.3773166,29 mins,4.3 km
202,34.7946153,126.3950674,36 mins,2.1 km
203,34.8108219,126.387711,19 mins,2.1 km
204,34.8032864,126.4315239,31 mins,4.1 km
205,34.8069039,126.4512246,39 mins,6.5 km
206,34.8074258,126.4272363,25 mins,3.7 km
207,34.80074,126.4210939,27 mins,2.9 km
208,34.81839180000001,126.3912739,23 mins,2.3 km
209,34.8106191,126.3799245,26 mins,3.1 km
210,34.8200262,126.3910862,22 mins,2.4 km
211,34.8086612,126.426422,23 mins,3.1 km
212,34.8370246,126.4270466,37 mins,5.8 km
213,34.8074211,126.4219623,26 mins,3.3 km
214,34.8167164,126.4185049,25 mins,2.8 km
215,34.8110314,126.3819853,24 mins,2.4 km
216,34.8084838,126.4265468,24 mins,3.1 km
217,34.8068831,126.3708996,26 mins,3.8 km
218,34.792714,126.3820208,26 mins,2.5 km
219,34.8223053,126.4197135,28 mins,3.6 km
220,34.7968599,126.3839885,24 mins,4.1 km
221,34.8034614,126.4202699,24 mins,2.8 km
222,34.8011749,126.4219205,27 mins,3.0 km
223,34.8120412,126.4178569,20 mins,2.2 km
224,34.8030724,126.4179899,21 mins,2.7 km
225,34.8019309,126.4171917,21 mins,2.5 km
226,34.7970279,126.3837997,24 mins,4.2 km
227,34.8000425,126.4217678,28 mins,3.0 km
228,34.8021815,126.4240212,27 mins,3.3 km
229,34.8061759,126.4518091,42 mins,8.0 km
230,34.8065417,126.4547704,38 mins,7.7 km
231,34.8099205,126.4557646,36 mins,6.8 km
232,34.8055597,126.3739201,25 mins,3.9 km
233,34.8193917,126.3942085,23 mins,2.3 km
234,34.8117957,126.3818533,23 mins,2.3 km
235,34.81672570000001,126.3973503,21 mins,1.7 km
236,34.8033019,126.4298865,31 mins,4.0 km
237,34.8011518,126.4226864,29 mins,3.4 km
238,34.8079373,126.428204,24 mins,3.6 km
239,34.8134397,126.4242819,25 mins,3.0 km
240,34.807191,126.4526838,41 mins,7.9 km
241,34.7990119,126.4282013,32 mins,5.2 km
242,34.8005835,126.4372197,53 mins,6.1 km
243,34.8094199,126.3714827,25 mins,3.5 km
244,34.790307,126.4000212,30 mins,4.1 km
245,34.82096,126.3951097,27 mins,2.7 km
246,34.8110314,126.3819853,24 mins,2.4 km
247,34.7989178,126.4225253,31 mins,3.2 km
248,34.8123884,126.3997034,16 mins,0.9 km
249,34.8167164,126.4185049,25 mins,2.8 km
250,34.7986482,126.4224021,31 mins,3.2 km
251,34.8002929,126.4357504,34 mins,5.4 km
252,34.806517,126.4458841,35 mins,5.7 km
253,34.8111397,126.3821316,24 mins,2.3 km
254,34.8110265,126.376449,24 mins,3.0 km
255,34.8175598,126.3889933,27 mins,2.5 km
256,34.81839180000001,126.3912739,23 mins,2.3 km
257,34.8006657,126.3818295,24 mins,3.7 km
258,34.8110353,126.3822483,24 mins,2.3 km
259,34.8085968,126.4293976,23 mins,3.6 km
260,34.8128354,126.4273412,27 mins,3.1 km
261,34.8015211,126.4254086,30 mins,3.5 km
262,34.8181236,126.3926681,21 mins,2.2 km
263,34.8088464,126.4259774,22 mins,3.0 km
264,34.8090521,126.427382,24 mins,3.1 km
265,34.80385690000001,126.4273911,29 mins,3.7 km
266,34.8109651,126.3921642,18 mins,1.7 km
267,34.809305,126.4396991,27 mins,4.7 km
268,34.8005371,126.4256606,31 mins,3.6 km
269,34.8033051,126.4269037,29 mins,3.8 km
270,34.8030183,126.4076601,20 mins,1.1 km
271,34.8145854,126.4223249,25 mins,2.8 km
272,34.8073034,126.4258309,25 mins,3.5 km
273,34.7997993,126.4238184,31 mins,3.6 km
274,34.8108522,126.3797243,25 mins,3.1 km
275,34.8034401,126.4063517,19 mins,1.1 km
276,34.7993895,126.422193,30 mins,3.1 km
277,34.7985172,126.4247874,34 mins,3.7 km
278,34.806517,126.4458841,35 mins,5.7 km
279,34.8127335,126.3817992,22 mins,2.3 km
280,34.8047572,126.4320281,29 mins,4.0 km
281,34.8073398,126.3725146,24 mins,3.7 km
282,34.8060924,126.4184669,21 mins,1.8 km
283,34.7995756,126.3808633,23 mins,3.6 km
284,34.8091632,126.3859303,19 mins,2.3 km
285,34.7916404,126.4000392,33 mins,4.3 km
286,34.83709169999999,126.4274179,38 mins,5.8 km
287,34.8192271,126.3901753,24 mins,2.5 km
288,34.8080043,126.4315343,25 mins,3.7 km
289,34.8041323,126.4223371,23 mins,3.1 km
290,34.80331580000001,126.3933447,17 mins,0.7 km
291,34.8009675,126.4216858,27 mins,3.0 km
292,34.800279,126.3759378,28 mins,5.0 km
293,34.8109591,126.3818887,24 mins,2.4 km
294,34.8145854,126.4223249,25 mins,2.8 km
295,34.8072924,126.4516687,39 mins,6.5 km
296,34.8040421,126.4238383,25 mins,3.2 km
297,34.8003165,126.4222092,28 mins,3.0 km
298,34.8042953,126.4332532,31 mins,4.1 km
299,34.82096,126.3951097,27 mins,2.7 km
300,34.8031172,126.3773608,27 mins,4.5 km
301,34.8081555,126.4314314,25 mins,3.7 km
302,34.8036562,126.4063055,19 mins,1.1 km
303,34.8169992,126.3918565,23 mins,2.3 km
304,34.8211038,126.4194418,28 mins,3.6 km
305,34.8134836,126.4217312,25 mins,2.8 km
306,34.8040399,126.4063212,18 mins,1.0 km
307,34.8258675,126.4234465,28 mins,3.9 km
308,34.8177867,126.3933159,21 mins,2.2 km
309,34.8065728,126.4523595,41 mins,7.9 km
310,34.7923982,126.3825177,25 mins,2.5 km
311,34.8054049,126.4247527,26 mins,3.6 km
312,34.8025933,126.3816025,22 mins,3.2 km
313,34.8140517,126.3841354,21 mins,2.2 km
314,34.8116183,126.4515894,31 mins,6.0 km
315,34.8169544,126.3966533,20 mins,1.8 km
316,34.8200299,126.3913633,21 mins,2.4 km
317,34.8066034,126.4512263,40 mins,6.5 km
318,34.8086218,126.4390909,29 mins,4.7 km
319,34.8056342,126.4508532,40 mins,5.9 km
320,34.8087291,126.4391732,29 mins,4.7 km
321,34.8087291,126.4391732,29 mins,4.7 km
322,34.8064664,126.4526434,41 mins,7.9 km
323,34.8076432,126.4232642,25 mins,3.2 km
324,34.8002171,126.422279,29 mins,3.1 km
325,34.8107699,126.4540363,33 mins,6.4 km
326,34.8010576,126.4244273,30 mins,3.5 km
327,34.8200299,126.3913633,21 mins,2.4 km
328,34.8010837,126.4216111,27 mins,3.0 km
329,34.8103401,126.4552942,35 mins,6.4 km
330,34.8070735,126.4526628,41 mins,7.9 km
331,34.8006002,126.3825612,25 mins,3.7 km
332,34.8016674,126.4255622,30 mins,3.5 km
333,34.7954842,126.3783694,31 mins,4.4 km
334,34.8054622,126.3748004,25 mins,4.1 km
335,34.8145854,126.4223249,25 mins,2.8 km
336,34.8081555,126.4314314,25 mins,3.7 km
337,34.8072892,126.4509533,39 mins,6.5 km
338,34.8081555,126.4314314,25 mins,3.7 km
339,34.8072892,126.4509533,39 mins,6.5 km
340,34.8044044,126.4294896,28 mins,3.9 km
341,34.7920581,126.4003577,38 mins,2.6 km
342,34.8040602,126.422192,23 mins,3.1 km
343,34.8109061,126.4450083,28 mins,5.2 km
344,34.8012452,126.4246791,29 mins,3.5 km
345,34.8009899,126.4266077,32 mins,3.6 km
346,34.81014010000001,126.3731588,24 mins,3.4 km
347,34.8013843,126.4251634,30 mins,3.5 km
348,34.8021815,126.4240212,27 mins,3.3 km
